,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
119,2004-03-31,RGZN5G-R,MHK,Consumer Durables,MERGED,0.68761883,10:02:00.822,-0.0632665352885212,-0.1095324445683018,-0.0359441304106745,0.0236794731483755
120,2004-04-07,RGZN5G-R,MHK,Consumer Durables,MERGED,0.69277675,10:02:01.467,-0.098967840642281,-0.1377048761142877,-0.0652094136817142,0.0136005193361842
121,2004-04-14,RGZN5G-R,MHK,Consumer Durables,MERGED,0.69314857,10:02:02.717,-0.0909320146563771,-0.0913109791496298,-0.0584743272994824,-0.0006315111336838
122,2004-04-21,RGZN5G-R,MHK,Consumer Durables,MERGED,0.6955393,10:02:03.400,-0.1186377935734326,-0.1167801895377805,0.0078018235717395,0.0092879256965944
123,2004-04-28,RGZN5G-R,MHK,Consumer Durables,MERGED,0.70345936,10:02:04.382,-0.0494238244016175,-0.0755441951491703,0.0864276585387726,-0.0108834633896023
124,2004-05-05,RGZN5G-R,MHK,Consumer Durables,MERGED,0.71407514,10:02:05.086,-0.0539267364436696,-0.0579842960300885,0.1472513059595855,0.0462041715810851
125,2004-05-12,RGZN5G-R,MHK,Consumer Durables,MERGED,0.62564481,10:02:06.183,-0.035704356417992,-0.0001389571514865,0.2378437665846314,0.1180883523698977
126,2004-05-19,RGZN5G-R,MHK,Consumer Durables,MERGED,0.63041201,10:02:07.097,0.0075769325491689,0.0473195901700673,0.2385990445968941,0.2124374733189318
127,2004-05-26,RGZN5G-R,MHK,Consumer Durables,MERGED,0.63168194,10:02:08.387,0.0002741895376762,0.0585492475688824,0.2224050617418138,0.1443850093957777
128,2004-06-02,RGZN5G-R,MHK,Consumer Durables,MERGED,0.61418341,10:02:09.317,-0.0317459388917693,0.0618779436389483,0.2011031115697916,0.1279257816075958
129,2004-06-09,RGZN5G-R,MHK,Consumer Durables,MERGED,0.61430504,10:02:10.130,0.0248096200488522,0.1312376267012882,0.2402029930799867,0.2086269370315784
130,2004-06-16,RGZN5G-R,MHK,Consumer Durables,MERGED,0.61123158,10:02:10.670,0.0255306762497346,0.1514629571672754,0.3047905855986973,0.2669248463068785
131,2004-06-23,RGZN5G-R,MHK,Consumer Durables,MERGED,0.61263943,10:02:11.486,-0.0091678633552871,0.1118476746757373,0.2640338620284827,0.1988716244099728
132,2004-06-30,RGZN5G-R,MHK,Consumer Durables,MERGED,0.54880523,10:02:12.126,0.002863753978303,0.0826400846485099,0.2477839590241283,0.1250511105955255
133,2004-07-07,RGZN5G-R,MHK,Consumer Durables,MERGED,0.54779715,10:02:12.879,0.0025348584672685,0.0840726804830939,0.2265877461462748,0.2229262600399702
135,2004-03-24,,HSY,,,0.54834196,,0.09731984812636,0.1116655758407293,0.1347497670857667,0.4892941096038332
136,2004-03-31,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.68975746,10:02:00.822,0.0729033409106642,0.1219717879030229,0.1378753184814646,0.4844057348331908
137,2004-04-07,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.84052015,10:02:01.467,0.0699120240671319,0.1096464725856559,0.1351048135172612,0.481134978791123
138,2004-04-14,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.84812613,10:02:02.716,0.0627927477597861,0.1261743763164529,0.1197483327115619,0.5215010071156254
139,2004-04-21,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.8446701,10:02:03.399,0.0488683206557585,0.0976388663865024,0.1713778917536559,0.4614923441889436
140,2004-04-28,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.69710287,10:02:04.382,0.0049408249122568,0.0741417501052326,0.1480577552273764,0.4577602877443475
141,2004-05-05,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.67306118,10:02:05.086,0.0012547495479401,0.0398332193681209,0.1694224380196488,0.4597181982873063
142,2004-05-12,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.53408242,10:02:06.185,0.0397311783553914,0.0727080826928246,0.1824042603669824,0.5230672559118721
143,2004-05-19,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.53965557,10:02:07.098,0.0237612557939239,0.0804486568437871,0.17747139993203,0.4959756823932996
144,2004-05-26,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.69566451,10:02:08.387,0.0224935851515787,0.1028466697423133,0.1846522693694579,0.4857524842493351
145,2004-06-02,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.68703273,10:02:09.317,0.0156218466420349,0.1075273335536873,0.2066012964196144,0.4700884340373762
146,2004-06-09,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.55189154,10:02:10.131,0.0075102593640757,0.0605005151077753,0.2067010560293632,0.4152842402664021
147,2004-06-16,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.55310996,10:02:10.671,0.0153040933335616,0.0384461786229202,0.2398595911677415,0.437088711411516
